,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,University_Name,Number_of_Trainees
2160,2020,From 30 to 39,Male,Palestine,Unknown,3
2161,2017,From 30 to 39,Female,Yemen,Hadhramout University Of Science & Technology,3
2162,2020,From 20 to 29,Male,Kuwait,Unknown,3
2163,2020,From 40 to 49,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,3
2164,2018,Unknown,Female,Saudi Arabia,Saad College Of Nursing & Allied Health Sciences,3
2165,2018,Unknown,Female,Saudi Arabia,Majmaah University,3
2166,2022,From 30 to 39,Male,Saudi Arabia,Jazan University,3
2167,2018,Unknown,Female,Saudi Arabia,Shaqra University,3
2168,2018,Unknown,Female,Saudi Arabia,Alfarabi Colleges,3
2169,2022,Unknown,Male,Saudi Arabia,Riyadh Colleges Of Dentistry And Pharmacy,3
2170,2022,From 30 to 39,Male,Saudi Arabia,Qassim University,3
2171,2018,Unknown,Female,United Arab Emirates,Unknown,3
2172,2018,Unknown,Female,Jordan,Unknown,3
2173,2017,From 30 to 39,Male,Kuwait,Unknown,3
2174,2020,From 40 to 49,Female,Saudi Arabia,Umm Al Qura University,3
2175,2020,From 30 to 39,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,3
2176,2018,Unknown,Female,Bahrain,Imam Abdulrahman Bin Faisal University,3
2177,2020,From 30 to 39,Female,Egypt,Unknown,3
2179,2018,From 40 to 49,Male,Egypt,Alexandria University,3
2180,2020,From 20 to 29,Male,Immigrant Tribes,Unknown,3
2181,2022,Unknown,Male,Saudi Arabia,Hamdard medical college MBBS,3
2182,2022,Unknown,Female,Saudi Arabia,University Of Tabuk,3
2183,2018,From 40 to 49,Male,Egypt,Tanta University,3
2184,2018,From 40 to 49,Male,Saudi Arabia,King Faisal University,3
2185,2022,Unknown,Female,Yemen,Unknown,3
2186,2017,From 30 to 39,Male,Saudi Arabia,October 6 University - Egypt,3
2189,2022,Unknown,Male,Saudi Arabia,Alexandria University,3
2190,2020,From 20 to 29,Male,Saudi Arabia,University Of Hail,3
2192,2022,Unknown,Male,Jordan,Unknown,3
2193,2017,From 30 to 39,Male,Saudi Arabia,Northern Borders University,3
2194,2018,From 40 to 49,Male,Sudan,Omdurman Islamic University - Sudan,3
2195,2020,From 30 to 39,Male,Saudi Arabia,Northern Borders University,3
2196,2017,From 30 to 39,Male,Saudi Arabia,Mansoura University - Egypt,3
2197,2018,Unknown,Male,Pakistan,Umm Al Qura University,3
2198,2018,Unknown,Male,Immigrant Tribes,King Saud University,3
2199,2018,Unknown,Male,India,Unknown,3
2200,2017,From 30 to 39,Female,Saudi Arabia,Najran University,3
2201,2020,From 20 to 29,Male,Syria,Unknown,3
2202,2018,From 40 to 49,Male,Bahrain,Unknown,3
2203,2018,From 40 to 49,Female,Yemen,Unknown,3
2204,2018,From 50 to 59,Female,Saudi Arabia,King Saud University,3
2206,2020,From 40 to 49,Female,Saudi Arabia,Saudi Commission For Health Specialties,3
2208,2017,From 30 to 39,Male,United Arab Emirates,Unknown,3
2209,2020,From 20 to 29,Male,United Arab Emirates,Unknown,3
2210,2018,From 40 to 49,Male,Sudan,University Of Khartoum,3
2211,2020,From 30 to 39,Male,Saudi Arabia,Ministry Of Education In Saudi Arabia,3
2212,2018,From 30 to 39,Male,United Arab Emirates,Unknown,3
2213,2020,From 20 to 29,Male,Saudi Arabia,Majmaah University,3
2214,2022,From 40 to 49,Male,Saudi Arabia,Saudi Commission For Health Specialties,3
2215,2022,From 40 to 49,Male,Saudi Arabia,Unknown,3
2216,2020,From 20 to 29,Male,Saudi Arabia,Northern Borders University,3
2217,2020,From 40 to 49,Female,Saudi Arabia,King Faisal University,3
2218,2018,From 40 to 49,Female,Yemen,University of Aden,3
2220,2018,From 40 to 49,Male,Sudan,University Of Gezira,3
2221,2022,Unknown,Female,Bahrain,Unknown,3
2222,2018,Unknown,Female,Yemen,Umm Al Qura University,3
2224,2018,From 40 to 49,Female,Saudi Arabia,Saudi Commission For Health Specialties,3
2225,2020,From 20 to 29,Male,Saudi Arabia,Riyadh Colleges Of Dentistry And Pharmacy,3
2226,2017,From 30 to 39,Female,Kuwait,Unknown,3
2227,2018,From 40 to 49,Female,Sudan,University Of Khartoum,3
2230,2018,From 30 to 39,Male,Sudan,University Of Gezira,3
2231,2016,Unknown,Female,Lebanon,Unknown,3
2232,2019,From 20 to 29,Female,Saudi Arabia,Arabian Gulf University,3
2233,2021,From 40 to 49,Male,Saudi Arabia,King Abdulaziz University,3
2234,2017,Unknown,Male,Egypt,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2235,2016,From 40 to 49,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,3
2236,2019,Unknown,Female,Yemen,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2237,2019,Unknown,Male,Jordan,King Abdulaziz University,3
2238,2016,Unknown,Female,Yemen,Umm Al Qura University,3
2239,2019,From 30 to 39,Male,Syria,Unknown,3
2240,2019,Unknown,Male,Pakistan,Umm Al Qura University,3
2241,2016,Unknown,Male,Egypt,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2242,2019,Unknown,Male,Palestine,King Abdulaziz University,3
2243,2016,Unknown,Male,India,King Abdulaziz University,3
2244,2016,Unknown,Male,Jordan,King Abdulaziz University,3
2245,2019,From 30 to 39,Male,Saudi Arabia,Northern Borders University,3
2246,2019,From 30 to 39,Male,Saudi Arabia,Mansoura University - Egypt,3
2247,2017,Unknown,Female,Saudi Arabia,Shaqra University,3
2248,2021,From 40 to 49,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,3
2249,2021,From 30 to 39,Male,Saudi Arabia,Saudi Commission For Health Specialties,3
2250,2016,Unknown,Male,Palestine,King Abdulaziz University,3
2251,2016,Unknown,Male,Palestine,Misr University For Science And Technology - Egypt,3
2252,2016,Unknown,Male,Palestine,October 6 University - Egypt,3
2253,2016,From 30 to 39,Male,Saudi Arabia,October 6 University - Egypt,3
2254,2016,From 30 to 39,Male,Saudi Arabia,Northern Borders University,3
2255,2017,Unknown,Male,Yemen,King Saud University,3
2256,2019,From 30 to 39,Male,Bahrain,Unknown,3
2257,2016,From 30 to 39,Male,Saudi Arabia,Mansoura University - Egypt,3
2258,2019,Unknown,Male,Saudi Arabia,Buraydah Colleges,3
2259,2021,Unknown,Female,Saudi Arabia,Alfarabi Colleges,3
2260,2021,Unknown,Female,Saudi Arabia,Arabian Gulf University,3
2261,2018,From 20 to 29,Female,Jordan,Unknown,3
2262,2021,Unknown,Female,Saudi Arabia,Princess Nora Bint Abdul Rahman University,3
2263,2018,From 20 to 29,Female,Palestine,Unknown,3
2264,2021,From 30 to 39,Male,Saudi Arabia,University Of Hail,3
2265,2021,From 30 to 39,Male,Saudi Arabia,Riyadh Colleges Of Dentistry And Pharmacy,3
2266,2016,From 20 to 29,Male,Saudi Arabia,Al Jouf University,3
2267,2019,From 40 to 49,Male,Sudan,University Of Gezira,3
2268,2019,Unknown,Female,Jordan,Unknown,3
2269,2019,Unknown,Female,Egypt,Unknown,3
2270,2017,Unknown,Male,Palestine,Misr University For Science And Technology - Egypt,3
2271,2021,From 30 to 39,Female,Saudi Arabia,Jazan University,3
2272,2017,Unknown,Male,Palestine,King Abdulaziz University,3
2273,2017,Unknown,Male,Pakistan,Umm Al Qura University,3
2274,2021,From 30 to 39,Female,Saudi Arabia,Taif University,3
2275,2019,Unknown,Female,Egypt,Batterjee Medical College,3
2276,2019,Unknown,Female,Bahrain,Imam Abdulrahman Bin Faisal University,3
2277,2021,From 20 to 29,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,3
2278,2021,From 30 to 39,Female,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,3
2279,2017,Unknown,Male,Jordan,King Abdulaziz University,3
2280,2021,From 30 to 39,Female,United Arab Emirates,Unknown,3
2281,2021,From 20 to 29,Male,Saudi Arabia,Taif University,3
2282,2021,From 30 to 39,Male,Federated States Of Micronesia,Unknown,3
2283,2017,Unknown,Male,Immigrant Tribes,King Saud University,3
2284,2016,Unknown,Female,Bahrain,Unknown,3
2285,2016,From 50 to 59,Female,Saudi Arabia,King Saud University,3
2286,2021,From 20 to 29,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,3
2287,2021,From 30 to 39,Male,Saudi Arabia,Albaha University,3
2288,2016,Unknown,Female,Saudi Arabia,Princess Nora Bint Abdul Rahman University,3
2289,2021,From 30 to 39,Male,Saudi Arabia,Alfaisal University,3
2290,2019,From 40 to 49,Male,Kuwait,Unknown,3
2291,2019,From 40 to 49,Male,Egypt,Unknown,3
2292,2019,From 40 to 49,Male,Egypt,Cairo University,3
2293,2021,From 30 to 39,Male,Saudi Arabia,Jordan University Of Science And Technology,3
2294,2016,From 40 to 49,Male,Kuwait,Unknown,3
2295,2016,From 40 to 49,Male,Jordan,Unknown,3
2296,2016,From 40 to 49,Male,Egypt,Unknown,3
2297,2021,From 30 to 39,Male,Saudi Arabia,Ministry Of Education In Saudi Arabia,3
2298,2021,From 20 to 29,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2299,2018,From 20 to 29,Female,Saudi Arabia,Arabian Gulf University,3
2300,2019,From 30 to 39,Female,Yemen,Hadhramout University Of Science & Technology,3
2301,2017,From 40 to 49,Male,Bahrain,Unknown,3
2302,2019,From 20 to 29,Male,Saudi Arabia,Majmaah University,3
2303,2020,From 20 to 29,Female,Saudi Arabia,Qassim University,3
2304,2016,Unknown,Male,Yemen,King Abdulaziz University,3
2305,2016,Unknown,Male,Yemen,King Saud University,3
2306,2016,Unknown,Male,Yemen,October 6 University - Egypt,3
2307,2020,Unknown,Male,Egypt,King Abdulaziz University,3
2308,2018,From 30 to 39,Female,Egypt,Unknown,3
2309,2017,From 20 to 29,Female,Saudi Arabia,Arabian Gulf University,3
2310,2022,From 20 to 29,Female,Saudi Arabia,University Of Tabuk,3
2311,2018,From 30 to 39,Female,Saudi Arabia,Alfaisal University,3
2312,2022,From 20 to 29,Female,Yemen,King Abdulaziz University,3
2313,2019,From 20 to 29,Male,Palestine,Unknown,3
2314,2022,From 20 to 29,Male,Saudi Arabia,King Khalid University,3
2315,2017,From 40 to 49,Male,Jordan,Unknown,3
2316,2019,From 20 to 29,Male,Immigrant Tribes,Unknown,3
2317,2017,Unknown,Female,Saudi Arabia,Majmaah University,3
2318,2020,Unknown,Female,Saudi Arabia,October 6 University - Egypt,3
2319,2020,Unknown,Female,Saudi Arabia,Najran University,3
2320,2018,From 30 to 39,Female,Saudi Arabia,Saudi Commission For Health Specialties,3
2321,2019,From 20 to 29,Female,Saudi Arabia,Qassim University,3
2322,2020,Unknown,Female,Palestine,Unknown,3
2323,2022,From 20 to 29,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,3
2324,2022,From 20 to 29,Male,Saudi Arabia,University Of Tabuk,3
2325,2020,Unknown,Female,Palestine,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2326,2020,Unknown,Female,Egypt,Batterjee Medical College,3
2327,2018,From 30 to 39,Female,Yemen,Hadhramout University Of Science & Technology,3
2328,2020,From 20 to 29,Female,Yemen,King Abdulaziz University,3
2329,2018,From 30 to 39,Male,Bahrain,Unknown,3
2330,2022,From 30 to 39,Female,Egypt,Unknown,3
2331,2020,Unknown,Female,Bahrain,Imam Abdulrahman Bin Faisal University,3
2332,2016,From 30 to 39,Female,Saudi Arabia,Riyadh Colleges Of Dentistry And Pharmacy,3
2333,2018,From 20 to 29,Male,Saudi Arabia,Northern Borders University,3
2334,2017,From 40 to 49,Male,Saudi Arabia,Qassim University,3
2335,2020,Unknown,Male,Jordan,King Abdulaziz University,3
2336,2021,From 20 to 29,Female,Immigrant Tribes,Unknown,3
2337,2021,Unknown,Male,Saudi Arabia,Alexandria University,3
2338,2018,From 20 to 29,Female,Saudi Arabia,Qassim University,3
2339,2019,Unknown,Male,Syria,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2340,2018,From 20 to 29,Female,Saudi Arabia,Riyadh Colleges Of Dentistry And Pharmacy,3
2341,2020,Unknown,Male,Yemen,King Abdulaziz University,3
2342,2020,From 20 to 29,Female,Saudi Arabia,Almaarefa University,3
2343,2020,Unknown,Male,Sudan,Omdurman Islamic University - Sudan,3
2344,2017,Unknown,Female,Saudi Arabia,Alfarabi Colleges,3
