,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
634,2020,Unknown,Female,Saudi Arabia,R1,18
635,2020,From 40 to 49,Male,Saudi Arabia,F2,17
638,2017,From 40 to 49,Female,Saudi Arabia,F1,17
650,2017,From 40 to 49,Female,Saudi Arabia,R5,16
652,2020,Unknown,Male,Saudi Arabia,D2,16
653,2018,Unknown,Male,Yemen,R4,16
655,2017,Unknown,Male,Yemen,R3,16
658,2018,From 40 to 49,Male,Saudi Arabia,R4,16
661,2018,From 40 to 49,Male,Yemen,F2,16
663,2019,From 40 to 49,Male,Saudi Arabia,F2,16
664,2017,From 30 to 39,Female,Saudi Arabia,D1,16
665,2016,From 40 to 49,Female,Saudi Arabia,R1,16
666,2018,From 40 to 49,Female,Saudi Arabia,F1,16
669,2016,From 40 to 49,Male,Saudi Arabia,R2,15
670,2018,From 40 to 49,Female,Saudi Arabia,F2,15
673,2017,From 40 to 49,Male,Saudi Arabia,R3,15
674,2019,From 40 to 49,Female,Saudi Arabia,F1,15
675,2017,From 40 to 49,Male,Egypt,F1,15
676,2017,From 40 to 49,Male,Yemen,F1,15
686,2020,Unknown,Male,Yemen,F1,15
688,2018,Unknown,Female,Bahrain,R2,14
689,2017,Unknown,Female,Bahrain,R1,14
691,2016,Unknown,Male,Sudan,F1,14
692,2018,From 40 to 49,Male,Saudi Arabia,F1,14
693,2016,Unknown,Male,Syria,R2,14
694,2018,From 40 to 49,Male,Egypt,F2,14
695,2018,Unknown,Female,Sudan,R3,14
697,2019,Unknown,Female,Bahrain,R3,14
698,2020,From 40 to 49,Female,Saudi Arabia,F2,14
699,2017,From 40 to 49,Male,Saudi Arabia,F2,14
702,2016,From 30 to 39,Male,Saudi Arabia,F1,14
703,2016,Unknown,Male,Yemen,R4,14
705,2020,Unknown,Female,Bahrain,R4,14
707,2019,Unknown,Female,Sudan,R5,14
709,2017,From 30 to 39,Female,Saudi Arabia,F2,14
710,2016,From 30 to 39,Female,Saudi Arabia,R5,14
711,2018,From 20 to 29,Female,Bahrain,R1,14
713,2020,From 20 to 29,Female,Bahrain,R3,13
715,2017,Unknown,Female,Sudan,R2,13
719,2017,Unknown,Female,Saudi Arabia,F3,13
724,2020,From 40 to 49,Female,Saudi Arabia,F1,13
726,2019,From 40 to 49,Female,Saudi Arabia,F2,13
