,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
243,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Unknown,95,yes
244,2019,Madinah,King Fahd Hospital in Medina,Unknown,95,yes
247,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Umm Al Qura University,93,no
248,2017,Khobar,King Fahd University Hospital in Khobar,Imam Abdulrahman Bin Faisal University,93,no
249,2019,Alqatif  ,AlQatif Central Hospital,Unknown,93,yes
251,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,93,yes
254,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Umm Al Qura University,92,no
255,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,Unknown,92,yes
256,2017,Riyadh,King Saud Medical City in Riyadh,Unknown,92,yes
258,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Abdulaziz University,91,no
259,2016,Riyadh,King Saud Medical City in Riyadh,Unknown,91,yes
260,2020,Taif,King Faisal Medical Complex in Taif,Unknown,91,yes
261,2016,Khobar,King Fahd University Hospital in Khobar,Unknown,91,yes
264,2020,Madinah,Maternity and Children Hospital in Medina,Unknown,90,yes
265,2016,Riyadh,King Khalid University Hospital in Riyadh,Unknown,89,yes
266,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Unknown,89,yes
267,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,King Khalid University,88,no
268,2020,Dammam,Eastern Health Cluster,Unknown,88,yes
269,2021,Jeddah,King Abdullah Medical Complex in Jeddah,Unknown,88,yes
271,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,87,yes
273,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Unknown,86,yes
274,2017,Jeddah,King Fahd General Hospital in Jeddah,King Abdulaziz University,86,no
275,2020,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,86,no
276,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Unknown,86,yes
277,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Unknown,85,yes
278,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Unknown,85,yes
279,2019,Riyadh,King Fahad Medical City in Riyadh,King Saud University,85,no
280,2017,Khobar,King Fahd University Hospital in Khobar,Unknown,85,yes
281,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Abdulaziz University,85,no
282,2016,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,84,yes
283,2021,Makkah,Maternity and Children Hospital in Mecca,Unknown,84,yes
284,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Unknown,84,yes
285,2016,Makkah,King Abdullah Medical City in the Holy Capital,Umm Al Qura University,84,no
287,2018,Makkah,King Abdullah Medical City in the Holy Capital,Umm Al Qura University,84,no
289,2018,Dammam,Dammam Medical Complex,Unknown,84,yes
291,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Unknown,83,yes
292,2019,Makkah,Alnoor Specialist Hospital in Mecca,Unknown,83,yes
295,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,83,no
299,2016,Khobar,King Fahd University Hospital in Khobar,Imam Abdulrahman Bin Faisal University,81,no
300,2020,Albahah,General Directorate of Health Affairs in Al-Baha Region,Unknown,81,yes
303,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud University,81,no
305,2020,Jeddah,International Medical Center in Jeddah,Unknown,81,yes
306,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Unknown,80,yes
309,2021,Manama,King Hamad University Hospital in Kingdom of Bahrain,Unknown,80,yes
310,2021,Manama,Salmaniya Medical Complex in Manama,Unknown,80,yes
311,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Unknown,80,yes
313,2016,Jeddah,King Fahd General Hospital in Jeddah,King Abdulaziz University,79,no
314,2021,Riyadh,AlYamamah Hospital in Riyadh,Unknown,79,yes
315,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Abdulaziz University,79,no
316,2017,Makkah,Alnoor Specialist Hospital in Mecca,Umm Al Qura University,79,no
320,2018,Makkah,JointProgram for Family Medicine in Makkah,Umm Al Qura University,78,no
322,2021,Makkah,Security Forces Hospital in Mecca,Unknown,78,yes
325,2021,Riyadh,University Dental Hospital at King Saud University in Riyadh,Unknown,77,yes
326,2021,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Unknown,77,yes
328,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Abdulaziz University,77,no
329,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Unknown,77,yes
330,2017,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,77,yes
332,2019,Riyadh,King Saud Medical City in Riyadh,King Saud University,76,no
335,2017,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,King Faisal University,76,no
338,2017,Makkah,JointProgram for Family Medicine in Makkah,Umm Al Qura University,75,no
341,2017,Riyadh,King Khalid University Hospital in Riyadh,Unknown,75,yes
343,2020,Madinah,Joint Family Medicine Program - Medina,Unknown,74,yes
345,2019,Najran,General Directorate of Health Affairs in Najran Region,Unknown,74,yes
346,2021,Madinah,Joint Family Medicine Program - Medina,Unknown,74,yes
347,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Abdulaziz University,74,no
349,2019,Hofuf,King Fahad Hospital in Hofuf,Unknown,74,yes
350,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdulaziz University,73,no
351,2021,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Unknown,73,yes
352,2018,Jeddah,King Fahd General Hospital in Jeddah,King Abdulaziz University,73,no
353,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Jazan University,72,no
354,2017,Dammam,King Fahd Specialist Hospital in Dammam,Imam Abdulrahman Bin Faisal University,72,no
355,2019,Jeddah,East Jeddah Hospital in Jeddah,Unknown,72,yes
356,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdulaziz University,72,no
359,2020,Taif,King Abdulaziz Specialist Hospital in Taif,Unknown,72,yes
360,2018,Makkah,Alnoor Specialist Hospital in Mecca,Umm Al Qura University,72,no
363,2020,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Unknown,71,yes
364,2016,Makkah,Alnoor Specialist Hospital in Mecca,Umm Al Qura University,71,no
369,2018,Khobar,King Fahd University Hospital in Khobar,Imam Abdulrahman Bin Faisal University,70,no
370,2021,Taif,The program of the Ministry of Health in Taif ,Unknown,70,yes
372,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Unknown,70,yes
373,2016,Riyadh,Security Forces Hospital in Riyadh,King Saud University,70,no
374,2018,Alqatif  ,AlQatif Central Hospital,Unknown,70,yes
375,2021,Buraidah,Maternity and Pediatric Hospital in Buraidah,Unknown,69,yes
376,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Umm Al Qura University,69,no
377,2021,Riyadh,Riyadh First Health Cluster,Unknown,69,yes
378,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Khalid University,69,no
381,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Jazan University,68,no
