,Year,Nationality_En,Number_of_Cases
413,2022,Kenya,42
414,2022,Kosovo,22
415,2022,Kuwait,136
416,2022,Kyrgyzstan,9
417,2022,Lebanon,2177
418,2022,Libya,8
419,2022,Macedonia,16
420,2022,Malaysia,2199
421,2022,Mali,16
422,2022,Mauritania,62
423,2022,Mauritius,6
424,2022,Mexico,36
425,2022,Morocco,215
426,2022,Myanmar,27
427,2022,Nepal,230
428,2022,Netherlands,11
429,2022,New Zealand,96
430,2022,Niger,42
431,2022,Nigeria,2428
432,2022,Norway,6
433,2022,Oman,41
434,2022,Pakistan,6616
435,2022,Palestine,2292
436,2022,Peru,4
437,2022,Philippines,33104
438,2022,Poland,95
439,2022,Portugal,124
440,2022,Qatar,3
441,2022,Romania,34
442,2022,Russia,199
443,2022,Saint Kitts And Nevis,21
444,2022,Saudi Arabia,250400
445,2022,Scotland,140
446,2022,Serbia,119
447,2022,Sierra Leone,12
448,2022,Singapore,16
449,2022,Slovakia,13
450,2022,Somalia,227
451,2022,South Africa,756
452,2022,South Korea,258
453,2022,South Sudan,4
454,2022,Spain,149
455,2022,Sri Lanka,18
456,2022,Sudan,22828
457,2022,Sweden,57
458,2022,Switzerland,1
459,2022,Syria,6781
460,2022,Tanzania,9
461,2022,Thailand,26
462,2022,Tunisia,1325
463,2022,Turkey,171
464,2022,Turkmenistan,1
465,2022,Uganda,37
466,2022,Ukraine,29
467,2022,United Arab Emirates,25
468,2022,United Kingdom,1084
469,2022,United States,864
470,2022,Uzbekistan,41
471,2022,Venezuela,122
472,2022,Yemen,5022
473,2022,Zambia,4
